rosbagTimestamp,fz
1634050563313119518,0.0
1634050563313562151,-0.798
1634050563320863803,-0.815
1634050563328007840,-0.867
1634050563335165493,-0.94
1634050563342311873,-0.993
1634050563349399026,-1.07
1634050563356643218,-1.125
1634050563363728771,-1.204
1634050563370928079,-1.289
1634050563378057416,-1.353
1634050563385170757,-1.444
1634050563392294314,-1.512
1634050563399517848,-1.617
1634050563406689942,-1.693
1634050563413817268,-1.803
1634050563421070951,-1.912
1634050563428057762,-1.996
1634050563435118354,-2.109
1634050563442303353,-2.199
1634050563449475903,-2.317
1634050563456669221,-2.415
1634050563463715734,-2.557
1634050563470861645,-2.718
1634050563478021734,-2.854
1634050563485124707,-3.062
1634050563492273776,-3.226
1634050563499380730,-3.45
1634050563506458627,-3.611
