rosbagTimestamp,fz
1634027566932129368,0.0
1634027566939828003,0.0
1634027566949792645,0.0
1634027566959791018,0.0
1634027566969815638,0.0
1634027566979821926,0.0
1634027566989894577,0.0
1634027566999858451,0.0
1634027567009789733,0.0
1634027567019865086,0.0
1634027567029794343,0.0
1634027567039895569,0.0
1634027567049819724,0.0
1634027567059851041,0.0
1634027567069846839,0.0
1634027567079855874,0.0
1634027567089849934,0.0
1634027567099847191,0.0
1634027567109856679,0.0
1634027567119849321,0.0
1634027567129782015,0.0
1634027567139842629,0.0
1634027567149838769,5.405
1634027567159798208,5.405
1634027567169811203,5.41
1634027567179814108,5.427
1634027567189809530,5.446
1634027567199809911,5.471
1634027567209811876,5.492
1634027567219837857,5.51
1634027567229798582,5.512
1634027567239811116,5.506
1634027567249797894,5.485
1634027567259797106,5.466
1634027567269784310,5.445
1634027567279810629,5.43
1634027567289841624,5.415
1634027567299788688,5.408
1634027567309814562,5.397
1634027567319815887,5.39
1634027567329817448,5.388
1634027567339832475,5.395
1634027567349813533,5.415
1634027567359814564,5.442
1634027567369821911,5.479
1634027567379847398,5.518
1634027567389814134,5.545
1634027567399844430,5.565
1634027567409814407,5.573
