rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,fz
1634027202280091928,,0,,0,0,'',0.0
1634027202378243417,,0,,0,0,'',0.0
1634027202478237006,,0,,0,0,'',0.0
1634027202578227141,,0,,0,0,'',0.0
1634027202678217547,,0,,0,0,'',5.397
1634027202778210551,,0,,0,0,'',5.358
1634027202878211163,,0,,0,0,'',5.328
1634027202978209380,,0,,0,0,'',5.29
1634027203078208013,,0,,0,0,'',5.502
1634027203178210746,,0,,0,0,'',5.349
1634027203278169050,,0,,0,0,'',5.369
1634027203378205991,,0,,0,0,'',5.436
1634027203478210908,,0,,0,0,'',5.345
1634027203578198927,,0,,0,0,'',5.379
1634027203678167273,,0,,0,0,'',5.39
1634027203778206097,,0,,0,0,'',5.331
1634027203878202243,,0,,0,0,'',5.374
1634027203978200013,,0,,0,0,'',5.401
1634027204078200317,,0,,0,0,'',5.392
1634027204178203229,,0,,0,0,'',5.362
1634027204278208871,,0,,0,0,'',5.34
1634027204378199615,,0,,0,0,'',5.432
1634027204478196089,,0,,0,0,'',5.363
1634027204578198239,,0,,0,0,'',5.416
1634027204678186969,,0,,0,0,'',5.379
1634027204778205011,,0,,0,0,'',5.39
1634027204878184017,,0,,0,0,'',5.338
1634027204978199837,,0,,0,0,'',5.427
1634027205078200055,,0,,0,0,'',5.327
