rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,fz
1634026673237252304,,0,,0,0,'',0.0
1634026673247239452,,0,,0,0,'',0.0
1634026673257238822,,0,,0,0,'',0.0
1634026673267189471,,0,,0,0,'',0.0
1634026673277163070,,0,,0,0,'',0.0
1634026673287239277,,0,,0,0,'',0.0
1634026673297259681,,0,,0,0,'',0.0
1634026673307204202,,0,,0,0,'',0.0
1634026673317246188,,0,,0,0,'',0.0
1634026673327186131,,0,,0,0,'',0.0
1634026673337175654,,0,,0,0,'',0.0
1634026673347217198,,0,,0,0,'',0.0
1634026673357162766,,0,,0,0,'',0.0
1634026673367234558,,0,,0,0,'',0.0
1634026673377247780,,0,,0,0,'',0.0
1634026673387200694,,0,,0,0,'',0.0
1634026673397239817,,0,,0,0,'',0.0
1634026673407209144,,0,,0,0,'',0.0
1634026673417209721,,0,,0,0,'',0.0
1634026673427240530,,0,,0,0,'',0.0
1634026673437198047,,0,,0,0,'',0.0
1634026673447162158,,0,,0,0,'',0.0
1634026673457161119,,0,,0,0,'',0.0
1634026673467238471,,0,,0,0,'',0.0
1634026673477161292,,0,,0,0,'',5.398
1634026673487158614,,0,,0,0,'',5.399
1634026673497156879,,0,,0,0,'',5.391
1634026673507159615,,0,,0,0,'',5.38
1634026673517168282,,0,,0,0,'',5.365
1634026673527160541,,0,,0,0,'',5.343
1634026673537145707,,0,,0,0,'',5.317
1634026673547172259,,0,,0,0,'',5.297
1634026673557170386,,0,,0,0,'',5.281
1634026673567207057,,0,,0,0,'',5.27
1634026673577167400,,0,,0,0,'',5.271
1634026673587165649,,0,,0,0,'',5.278
1634026673597156997,,0,,0,0,'',5.302
1634026673607190268,,0,,0,0,'',5.329
1634026673617156802,,0,,0,0,'',5.361
1634026673627152826,,0,,0,0,'',5.393
1634026673637160122,,0,,0,0,'',5.421
1634026673647142995,,0,,0,0,'',5.441
1634026673657129857,,0,,0,0,'',5.449
1634026673667192200,,0,,0,0,'',5.442
1634026673677144573,,0,,0,0,'',5.421
1634026673687129724,,0,,0,0,'',5.403
1634026673697141046,,0,,0,0,'',5.383
1634026673707192022,,0,,0,0,'',5.366
1634026673717194962,,0,,0,0,'',5.359
1634026673727189466,,0,,0,0,'',5.36
1634026673737159448,,0,,0,0,'',5.37
1634026673747157071,,0,,0,0,'',5.386
1634026673757188363,,0,,0,0,'',5.402
1634026673767159319,,0,,0,0,'',5.414
1634026673777173200,,0,,0,0,'',5.43
1634026673787131580,,0,,0,0,'',5.438
1634026673797191880,,0,,0,0,'',5.444
1634026673807130566,,0,,0,0,'',5.448
1634026673817194248,,0,,0,0,'',5.457
1634026673827190107,,0,,0,0,'',5.461
1634026673837189665,,0,,0,0,'',5.475
1634026673847192889,,0,,0,0,'',5.484
1634026673857189913,,0,,0,0,'',5.493
1634026673867178144,,0,,0,0,'',5.498
1634026673877158095,,0,,0,0,'',5.494
1634026673887159133,,0,,0,0,'',5.485
1634026673897188935,,0,,0,0,'',5.47
1634026673907158551,,0,,0,0,'',5.452
1634026673917190874,,0,,0,0,'',5.438
1634026673927157980,,0,,0,0,'',5.427
1634026673937140857,,0,,0,0,'',5.418
1634026673947147779,,0,,0,0,'',5.416
1634026673957143997,,0,,0,0,'',5.42
1634026673967190254,,0,,0,0,'',5.424
1634026673977147142,,0,,0,0,'',5.434
1634026673987144956,,0,,0,0,'',5.446
1634026673997190794,,0,,0,0,'',5.455
1634026674007161630,,0,,0,0,'',5.464
1634026674017143722,,0,,0,0,'',5.468
1634026674027157877,,0,,0,0,'',5.465
1634026674037166070,,0,,0,0,'',5.456
1634026674047158894,,0,,0,0,'',5.443
1634026674057193219,,0,,0,0,'',5.423
1634026674067161364,,0,,0,0,'',5.405
1634026674077193069,,0,,0,0,'',5.385
1634026674087157930,,0,,0,0,'',5.38
1634026674097178542,,0,,0,0,'',5.381
1634026674107192749,,0,,0,0,'',5.396
1634026674117191065,,0,,0,0,'',5.416
1634026674127167637,,0,,0,0,'',5.438
1634026674137146415,,0,,0,0,'',5.468
1634026674147142791,,0,,0,0,'',5.493
1634026674157191647,,0,,0,0,'',5.515
1634026674167192694,,0,,0,0,'',5.534
1634026674177192817,,0,,0,0,'',5.552
1634026674187192285,,0,,0,0,'',5.561
1634026674197201601,,0,,0,0,'',5.564
1634026674207199539,,0,,0,0,'',5.559
1634026674217247558,,0,,0,0,'',5.543
1634026674227267361,,0,,0,0,'',5.524
1634026674237159470,,0,,0,0,'',5.504
1634026674247195878,,0,,0,0,'',5.485
1634026674257200183,,0,,0,0,'',5.471
1634026674267163572,,0,,0,0,'',5.467
1634026674277181933,,0,,0,0,'',5.471
1634026674287235356,,0,,0,0,'',5.478
1634026674297143077,,0,,0,0,'',5.485
