rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,fz
1634026711122630124,,0,,0,0,'',0.0
1634026711130339986,,0,,0,0,'',0.0
1634026711140360728,,0,,0,0,'',0.0
1634026711150363904,,0,,0,0,'',0.0
1634026711160405355,,0,,0,0,'',0.0
1634026711170408545,,0,,0,0,'',0.0
1634026711180386496,,0,,0,0,'',0.0
1634026711190373635,,0,,0,0,'',0.0
1634026711200409324,,0,,0,0,'',0.0
1634026711210393811,,0,,0,0,'',0.0
1634026711220339548,,0,,0,0,'',0.0
1634026711230407061,,0,,0,0,'',0.0
1634026711240404913,,0,,0,0,'',0.0
1634026711250417965,,0,,0,0,'',0.0
1634026711260360805,,0,,0,0,'',0.0
1634026711270358337,,0,,0,0,'',0.0
1634026711280393915,,0,,0,0,'',0.0
1634026711290400975,,0,,0,0,'',0.0
1634026711300419155,,0,,0,0,'',0.0
1634026711310454456,,0,,0,0,'',0.0
1634026711320400621,,0,,0,0,'',0.0
1634026711330398266,,0,,0,0,'',0.0
1634026711340403423,,0,,0,0,'',0.0
1634026711350421376,,0,,0,0,'',0.0
1634026711360363727,,0,,0,0,'',0.0
1634026711370361826,,0,,0,0,'',0.0
1634026711380359265,,0,,0,0,'',0.0
1634026711390355054,,0,,0,0,'',0.0
1634026711400395925,,0,,0,0,'',0.0
1634026711410422361,,0,,0,0,'',0.0
1634026711420376319,,0,,0,0,'',0.0
1634026711430364918,,0,,0,0,'',5.395
1634026711440342339,,0,,0,0,'',5.393
1634026711450398827,,0,,0,0,'',5.399
1634026711460372817,,0,,0,0,'',5.408
1634026711470356788,,0,,0,0,'',5.413
1634026711480339920,,0,,0,0,'',5.428
1634026711490355604,,0,,0,0,'',5.434
1634026711500358854,,0,,0,0,'',5.436
1634026711510355577,,0,,0,0,'',5.434
1634026711520341549,,0,,0,0,'',5.427
1634026711530363566,,0,,0,0,'',5.418
1634026711540327066,,0,,0,0,'',5.413
1634026711550339721,,0,,0,0,'',5.408
1634026711560364307,,0,,0,0,'',5.404
1634026711570338945,,0,,0,0,'',5.402
1634026711580340461,,0,,0,0,'',5.398
1634026711590314035,,0,,0,0,'',5.393
1634026711600324633,,0,,0,0,'',5.385
1634026711610329010,,0,,0,0,'',5.368
1634026711620336185,,0,,0,0,'',5.362
1634026711630359511,,0,,0,0,'',5.352
1634026711640328762,,0,,0,0,'',5.352
1634026711650465785,,0,,0,0,'',5.366
1634026711660329804,,0,,0,0,'',5.385
1634026711670326859,,0,,0,0,'',5.414
1634026711680332648,,0,,0,0,'',5.441
1634026711690362437,,0,,0,0,'',5.467
1634026711700327938,,0,,0,0,'',5.481
1634026711710330619,,0,,0,0,'',5.483
1634026711720327936,,0,,0,0,'',5.481
1634026711730358349,,0,,0,0,'',5.467
1634026711740361643,,0,,0,0,'',5.465
1634026711750324419,,0,,0,0,'',5.463
1634026711760351204,,0,,0,0,'',5.471
1634026711770343441,,0,,0,0,'',5.482
1634026711780364520,,0,,0,0,'',5.498
1634026711790329196,,0,,0,0,'',5.513
1634026711800332809,,0,,0,0,'',5.52
1634026711810362312,,0,,0,0,'',5.53
1634026711820330359,,0,,0,0,'',5.53
1634026711830342455,,0,,0,0,'',5.535
