rosbagTimestamp,fz,z
1644322176662837874,0.131,0.0692540273452
1644322176697970410,0.12,0.068234316148
1644322176747997570,0.079,0.0680752952319
1644322176790797346,0.086,0.0678970790507
1644322176833708682,0.171,0.0674568420068
1644322176876530370,0.118,0.0671520235133
1644322176919916401,0.084,0.0667935271109
1644322176962525021,0.106,0.066458077072
1644322177012384993,0.108,0.0663011484783
1644322177055183239,0.052,0.0659521217901
1644322177097737336,0.04,0.0655798775524
1644322177141299857,0.102,0.0652373691227
1644322177190794181,0.09,0.0649176181236
1644322177233921768,0.032,0.0645933100351
1644322177284647660,-0.124,0.064289310938
1644322177326364500,-0.91,0.0639933337546
1644322177369450238,-2.054,0.0638417450685
1644322177419929385,-3.534,0.0635808497206
1644322177462265718,-5.172,0.0632564366631
1644322177505291693,-6.783,0.0629621570846
1644322177555337078,-8.399,0.0626307102746
1644322177598036598,-9.546,0.0623174681222
1644322177641062346,-10.39,0.0619568750811
1644322177684300395,-11.096,0.0615654724393
1644322177726788705,-11.53,0.0613634717961
1644322177769495481,-11.759,0.0609753286708
1644322177819220953,-11.841,0.0605917426552
1644322177862025340,-11.597,0.0601754760293
1644322177905039434,-11.373,0.0598112088197
1644322177948045449,-11.272,0.0596366352489
1644322177955257700,-11.259,0.0594627054197
1644322177991297661,-11.126,0.0592943923352
1644322178033591177,-10.998,0.058984415972
1644322178084745463,-11.043,0.0586651625094
1644322178127023671,-11.165,0.0583676346125
1644322178169195079,-11.493,0.0580542131044
1644322178212517948,-11.945,0.0579027837772
1644322178262580390,-12.753,0.0576080624581
1644322178305384472,-13.804,0.0573285865234
1644322178347927410,-15.106,0.0570127574851
1644322178398221806,-16.527,0.0566883894949
1644322178441256105,-17.959,0.0563657429675
1644322178484347707,-19.117,0.0560262368892
1644322178533286186,-19.864,0.0556724917734
1644322178576765877,-19.838,0.0553102634308
1644322178619353132,-19.128,0.0551349116601
1644322178669189349,-17.81,0.0547292717109
1644322178712296242,-16.365,0.0543552890602
1644322178754551230,-15.195,0.0539748898644
1644322178798780063,-14.252,0.0536178883908
1644322178848133482,-13.63,0.0532954702768
1644322178890686732,-13.666,0.0529678959733
1644322178932931666,-13.998,0.0528053740556
1644322178976437019,-14.625,0.0524865777912
1644322179026341099,-15.658,0.0522125422227
1644322179069590532,-17.016,0.0519361480834
1644322179112408084,-18.508,0.0516305575989
1644322179155071896,-20.207,0.0513255802315
1644322179198068366,-22.321,0.0512004860897
1644322179205292075,-22.628,0.0510420703258
1644322179248016884,-25.091,0.0508744750967
1644322179291053962,-27.836,0.0505960748309
1644322179334024067,-31.212,0.050267319457
1644322179383715800,-35.526,0.0500134704069
1644322179427018438,-39.939,0.049754471682
