rosbagTimestamp,fz,z
1634302040684143493,0.121,0.189662979819
1634302040696761121,0.098,0.189227823963
1634302040717159735,0.099,0.188779727745
1634302040738964898,0.14,0.188653602867
1634302040767692937,0.189,0.188589461543
1634302040790574641,0.199,0.188419810598
1634302040811589264,0.192,0.188233448908
1634302040838365168,0.181,0.188108976412
1634302040860142219,0.15,0.187919573358
1634302040891095695,0.117,0.187725025156
1634302040909560066,0.118,0.187561340265
1634302040931208144,0.129,0.187399049516
1634302040961156199,0.093,0.187187174203
1634302040983018410,0.06,0.18704563956
1634302041004869318,0.069,0.186871542739
1634302041032228906,0.144,0.186701464534
1634302041053706687,0.207,0.186541398811
1634302041076420073,0.233,0.186376442906
1634302041104307820,0.208,0.186207533912
1634302041126269253,0.159,0.186046698055
1634302041152859152,0.13,0.185880114535
1634302041174767273,0.133,0.185730819758
1634302041197352768,0.134,0.185547493219
1634302041226396020,0.118,0.185391854243
1634302041247086300,0.128,0.185217569988
1634302041268617609,0.152,0.185050082485
1634302041296387934,0.167,0.184857208201
1634302041318829738,0.161,0.184702871176
1634302041347044678,0.113,0.184525420645
1634302041368142813,0.075,0.184332829931
1634302041389571465,0.07,0.18413931692
1634302041415936196,0.136,0.183959453538
1634302041438143666,0.189,0.183778778913
1634302041466148394,0.217,0.183607844567
1634302041487736088,0.205,0.183441994285
1634302041508669961,0.196,0.183283764629
1634302041537293728,0.198,0.183127565697
1634302041558689482,0.185,0.182967716399
1634302041587168790,0.136,0.182810724239
1634302041608632666,0.101,0.182650898886
1634302041630052920,0.084,0.182500946025
1634302041658754724,0.07,0.182340477515
1634302041680273583,0.065,0.182196499219
1634302041702085226,0.07,0.182040333755
1634302041730353810,0.111,0.181867782269
1634302041752408101,0.151,0.181709723547
1634302041776428447,0.175,0.181538244986
1634302041802163464,0.152,0.181371197131
1634302041823775155,0.112,0.181197934921
1634302041851732015,0.095,0.18101414487
1634302041873096423,0.117,0.180837353075
1634302041894532379,0.134,0.18064642113
1634302041923129692,0.134,0.180463030752
1634302041944584373,0.13,0.180263800361
1634302041973055739,0.118,0.180097638124
1634302041994585204,0.108,0.179919390871
1634302042015757857,0.135,0.179736195632
1634302042044540700,0.195,0.179588929423
1634302042065874874,0.227,0.179423347036
1634302042087444628,0.228,0.179256653365
1634302042115882615,0.208,0.179097483997
1634302042137222430,0.18,0.178914447126
1634302042158730479,0.148,0.178767005725
1634302042187237588,0.13,0.178589052124
1634302042209586352,0.129,0.178438334321
1634302042237943287,0.163,0.178301277262
1634302042259008197,0.196,0.17813189379
1634302042280111637,0.209,0.177985269824
1634302042308741832,0.157,0.177836073349
1634302042330154083,0.09,0.17765911291
1634302042351609043,0.038,0.177493172406
1634302042380666914,0.022,0.177338013634
1634302042401907756,0.051,0.177165367712
1634302042423938423,0.083,0.176978595453
1634302042451605044,0.152,0.176806886648
1634302042475083887,0.215,0.176623725017
1634302042503832512,0.238,0.176433063625
1634302042522975441,0.19,0.176269661603
1634302042544626298,0.122,0.176071373499
1634302042573232291,0.083,0.175907307422
1634302042594218088,0.089,0.17575980284
1634302042616096539,0.114,0.175588084066
1634302042645013121,0.116,0.17544004279
1634302042665845688,0.094,0.175254437788
1634302042695006254,0.08,0.175101649467
1634302042716659300,0.108,0.174948839661
1634302042737571376,0.16,0.174785109413
1634302042765893348,0.188,0.174649560341
1634302042787497999,0.184,0.174490524009
1634302042808873837,0.183,0.174320992843
1634302042837196415,0.222,0.174183533877
1634302042858636781,0.234,0.174008545765
1634302042887222957,0.18,0.173847221437
1634302042908736813,0.126,0.173709427116
1634302042930928389,0.119,0.173518958779
1634302042958852851,0.162,0.173368167492
1634302042980092589,0.204,0.173204663065
1634302043001880132,0.238,0.172995356601
1634302043030287400,0.211,0.172817766287
1634302043051551268,0.16,0.172622157065
1634302043080237718,0.117,0.172434427248
1634302043101673194,0.12,0.172255854955
1634302043123171933,0.106,0.172058342352
1634302043151651926,0.082,0.171898588627
1634302043173101480,0.104,0.17172053306
1634302043194559080,0.168,0.171552861411
1634302043222988277,0.243,0.171384861174
1634302043244488438,0.251,0.171199514099
1634302043273217350,0.197,0.171022423486
1634302043294451181,0.162,0.170869804666
1634302043315814278,0.165,0.170695255884
1634302043344580975,0.184,0.170527240736
1634302043366022987,0.168,0.170353503795
1634302043387358594,0.139,0.170188600282
1634302043415734006,0.12,0.170025464518
1634302043437847582,0.117,0.1698583477
1634302043459745781,0.137,0.16969243146
1634302043484267580,0.175,0.16951839819
1634302043508786116,0.211,0.16934674707
1634302043537465291,0.264,0.169164864181
1634302043558713806,0.292,0.16898405358
1634302043580600800,0.267,0.168809408373
1634302043608795429,0.215,0.168638766179
1634302043629965328,0.205,0.168482834687
1634302043651667289,0.217,0.168318829057
1634302043680240963,0.195,0.168159396707
1634302043701753579,0.169,0.167990518778
1634302043724170561,0.129,0.167824295311
1634302043751521170,0.071,0.167670623742
1634302043772923674,0.031,0.167498382217
1634302043801710121,0.06,0.16733635526
1634302043823474988,0.115,0.167198384101
1634302043844669982,0.138,0.16704705572
1634302043872926223,0.127,0.166890898809
1634302043894437776,0.127,0.16673526801
1634302043916271344,0.161,0.166577557038
1634302043946008740,0.243,0.166418733217
1634302043965818577,0.277,0.16626261454
1634302043994384539,0.25,0.166105245525
1634302044015919652,0.217,0.165949830028
1634302044037498082,0.196,0.165779717611
1634302044066012536,0.17,0.165615882093
1634302044087826359,0.151,0.165425636242
1634302044109026177,0.139,0.165246654406
1634302044137510051,0.126,0.165044794251
1634302044159071645,0.11,0.164883737993
1634302044187258371,0.129,0.164719285624
1634302044208726910,0.179,0.164539577767
1634302044230190787,0.218,0.164393917802
1634302044258758129,0.231,0.16421872143
1634302044280738136,0.227,0.164045559421
1634302044301647946,0.213,0.163861847247
1634302044330130318,0.185,0.163689403436
1634302044351518639,0.189,0.163546549918
1634302044380213112,0.221,0.163380251157
1634302044401548754,0.231,0.163193677048
1634302044423020910,0.234,0.163034039804
1634302044451983580,0.254,0.16285244746
1634302044474250989,0.279,0.162678158466
1634302044494886674,0.289,0.162517253783
1634302044522977548,0.263,0.162340798743
1634302044544543390,0.202,0.162165925322
1634302044573165116,0.12,0.161982856649
1634302044594425877,0.087,0.161791279104
1634302044615860721,0.076,0.161591156767
1634302044644490876,0.059,0.16140415181
1634302044665957510,0.052,0.161226077911
1634302044687299279,0.068,0.16103555792
1634302044717125045,0.151,0.160883615457
1634302044737359702,0.205,0.160729681149
1634302044758600815,0.247,0.160548643423
1634302044787232110,0.284,0.16040208719
1634302044808620990,0.306,0.160251205988
1634302044832894699,0.305,0.1600983533
1634302044859192028,0.243,0.159961258555
1634302044881909785,0.172,0.159808550651
1634302044908820861,0.113,0.15963314803
1634302044930163639,0.095,0.159501123942
1634302044952444501,0.086,0.159341206736
1634302044980152998,0.072,0.15916028926
1634302045001598685,0.081,0.159020965059
1634302045030143988,0.147,0.158859123983
1634302045052531251,0.192,0.158709975507
1634302045073024157,0.211,0.158543253188
1634302045101490436,0.174,0.158378764614
1634302045123095919,0.088,0.158228503251
1634302045144656187,-0.179,0.158065311578
1634302045173671600,-0.917,0.157894795531
1634302045195014718,-1.712,0.157752094736
1634302045216936238,-2.534,0.157588488591
1634302045244895872,-3.548,0.157421499683
1634302045265936277,-4.297,0.157254848501
1634302045288663264,-4.985,0.157093837891
1634302045317608542,-5.808,0.156907773055
1634302045337431729,-6.378,0.156729665215
1634302045362277035,-7.003,0.156565628945
1634302045387454148,-7.52,0.156381429702
1634302045408761952,-7.803,0.156210646647
1634302045437180158,-8.027,0.156047119419
1634302045458797371,-8.157,0.155866328805
1634302045487427867,-8.275,0.155696396253
1634302045508758361,-8.31,0.155528251752
1634302045530149244,-8.283,0.155347508824
1634302045558628139,-8.195,0.155184798224
1634302045580043567,-8.1,0.155010335963
1634302045601864935,-7.977,0.154816097476
1634302045631454314,-7.71,0.15462395461
1634302045651546120,-7.479,0.154432060191
1634302045680267752,-7.054,0.154231710047
1634302045702514487,-6.761,0.154033141869
1634302045723240059,-6.505,0.153859466202
1634302045751778792,-6.271,0.15369233345
1634302045772904281,-6.057,0.153517186772
1634302045794480552,-5.79,0.153340269098
1634302045822985856,-5.435,0.153168531312
1634302045844526301,-5.147,0.153003264591
1634302045865912101,-4.878,0.152836104053
1634302045894409736,-4.521,0.152682910262
1634302045915885541,-4.341,0.152534018467
1634302045944541256,-4.136,0.152368787274
1634302045966172864,-4.028,0.152189081959
1634302045988226548,-3.974,0.15205236295
1634302046015793171,-3.925,0.151903142941
1634302046037336284,-3.876,0.151741375933
1634302046058842099,-3.85,0.151595235728
1634302046087465101,-3.853,0.15142958097
1634302046108671818,-3.851,0.15125945936
1634302046137189604,-3.859,0.151093175067
1634302046158618208,-3.946,0.150915788585
1634302046180222191,-4.119,0.15073626013
1634302046208971624,-4.418,0.150566173544
1634302046230168921,-4.708,0.150425488452
1634302046252286255,-5.026,0.150242475255
1634302046280169782,-5.472,0.150084120652
1634302046301770951,-5.813,0.149915995413
1634302046330383428,-6.342,0.149760457753
1634302046351572588,-6.696,0.149602988242
1634302046373953726,-7.101,0.149457928987
1634302046402293664,-7.656,0.149308898241
1634302046423760470,-8.056,0.149138925202
1634302046445886600,-8.453,0.14898987107
1634302046472983151,-9.087,0.148827745852
1634302046494346872,-9.6,0.148671457821
1634302046523001055,-10.202,0.148513325536
